,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,ionisable_nitrogens,num_nitrogens,longest_tail,num_branches,num_carbons,num_heavy_atoms,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,num_sp3_carbons,tail_branches
8736,Cc1cc(N)cc(C(F)F)n1,0.0,1.0,0.0,0.0,158.1510009765625,0.2857142984867096,0.6363636255264282,1.0,2.0,3.0,3.0,7,11,0,0,0,0,2.0,0.0
8737,CN(C)Cc1cc(F)ccc1N,0.0,1.0,0.0,0.0,168.21499633789062,0.3333333432674408,0.75,1.0,2.0,3.0,4.0,9,12,0,0,0,1,3.0,0.0
8738,CC1CC(c2cc(N)nn2C)C1,1.0,1.0,0.0,0.0,165.24000549316406,0.6666666865348816,0.75,2.0,3.0,1.0,3.0,9,12,0,0,0,0,6.0,0.0
8739,Cc1c(C2CCCC2)nn(C)c1N,1.0,1.0,0.0,0.0,179.26699829101562,0.699999988079071,0.7692307829856873,2.0,3.0,1.0,3.0,10,13,0,0,0,0,7.0,0.0
8740,Cc1ccc(N)c(OC2CCC2)n1,1.0,1.0,0.0,0.0,178.23500061035156,0.5,0.7692307829856873,1.0,2.0,1.0,4.0,10,13,0,0,0,0,5.0,0.0
8741,CC1(c2cc(N)no2)CCC1,1.0,1.0,0.0,0.0,152.19700622558594,0.625,0.7272727489471436,1.0,2.0,1.0,2.0,8,11,0,0,0,0,5.0,0.0
8742,CN1CCC(c2cc(N)on2)CC1,1.0,1.0,0.0,0.0,181.2389984130859,0.6666666865348816,0.692307710647583,2.0,3.0,1.0,2.0,9,13,0,0,0,1,6.0,0.0
8743,CCOc1ccccc1CNCCN,0.0,1.0,0.0,0.0,194.2779998779297,0.4545454680919647,0.7857142686843872,1.0,2.0,5.0,2.0,11,14,0,0,0,0,5.0,0.0
8744,CSCCCn1cc(N)cn1,0.0,1.0,0.0,0.0,171.2689971923828,0.5714285969734192,0.6363636255264282,2.0,3.0,5.0,2.0,7,11,0,0,0,0,4.0,0.0
8745,Nc1cccnc1NCC(F)(F)F,0.0,1.0,0.0,0.0,191.156005859375,0.2857142984867096,0.5384615659713745,2.0,3.0,4.0,4.0,7,13,0,0,0,0,2.0,0.0
8746,CC(C)CSc1ncnc(N)n1,0.0,1.0,0.0,0.0,184.26800537109375,0.5714285969734192,0.5833333134651184,1.0,4.0,4.0,3.0,7,12,0,0,0,0,4.0,0.0
8747,COC(=O)c1c(C)cc(C)nc1N,0.0,1.0,1.0,0.0,180.20700073242188,0.3333333432674408,0.692307710647583,1.0,2.0,4.0,4.0,9,13,0,0,0,0,3.0,0.0
8748,Nc1ccnc(CC2CCNCC2)c1,1.0,1.0,0.0,0.0,191.2779998779297,0.5454545617103577,0.7857142686843872,2.0,3.0,1.0,3.0,11,14,0,0,0,0,6.0,0.0
8749,NCc1cn(C2CCCCC2)cn1,1.0,1.0,0.0,0.0,179.26699829101562,0.699999988079071,0.7692307829856873,2.0,3.0,2.0,1.0,10,13,0,0,0,0,7.0,0.0
8750,Cc1noc(C2CCC(CN)CC2)n1,1.0,1.0,0.0,0.0,195.26600646972656,0.800000011920929,0.7142857313156128,2.0,3.0,2.0,2.0,10,14,0,0,0,0,8.0,0.0
8751,Cc1cccc(C2(CN)CC2)n1,1.0,1.0,0.0,0.0,162.23599243164062,0.5,0.8333333134651184,1.0,2.0,2.0,2.0,10,12,0,0,0,0,5.0,0.0
