,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,longest_tail,num_branches,ionisable_nitrogens,num_nitrogens,num_carbons,num_heavy_atoms,num_sp3_carbons,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,tail_branches
100,[C-]#[N+]CS(=O)(=O)c1ccccc1,0.0,1.0,0.0,0.0,181.21600341796875,0.125,0.6666666865348816,5.0,2.0,0.0,1.0,8,12,1,0,0,0,0,2.0
101,[C-]#[N+]CC1(C(C)(C)C)OCCO1,1.0,0.0,0.0,0.0,169.2239990234375,0.8888888955116272,0.75,3.0,3.0,0.0,1.0,9,12,8,0,0,0,0,1.0
102,[C-]#[N+]CCN1CCc2ccccc21,1.0,1.0,0.0,0.0,172.2310028076172,0.3636363744735718,0.8461538553237915,4.0,1.0,1.0,2.0,11,13,4,0,0,0,1,1.0
103,[C-]#[N+]CC(F)F,0.0,0.0,0.0,0.0,91.05999755859376,0.6666666865348816,0.5,5.0,1.0,0.0,1.0,3,6,2,0,0,0,0,1.0
104,[C-]#[N+]CCCSC,0.0,0.0,0.0,0.0,115.20099639892578,0.800000011920929,0.7142857313156128,7.0,0.0,0.0,1.0,5,7,4,0,0,0,0,0.0
105,[C-]#[N+]C(C(=O)OC)C(C)(C)C,0.0,0.0,1.0,0.0,155.19700622558594,0.75,0.7272727489471436,6.0,4.0,0.0,1.0,8,11,6,0,0,0,0,4.0
106,[C-]#[N+]CCCCCC(=O)OC,0.0,0.0,1.0,0.0,155.19700622558594,0.75,0.7272727489471436,10.0,1.0,0.0,1.0,8,11,6,0,0,0,0,1.0
107,[C-]#[N+]Cc1cc(C)ccn1,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
108,[C-]#[N+]C(CCSC)C(=O)OC,0.0,0.0,1.0,0.0,173.23699951171875,0.7142857313156128,0.6363636255264282,8.0,2.0,0.0,1.0,7,11,5,0,0,0,0,2.0
109,[C-]#[N+]CC(=O)OCc1ccccc1,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,6.0,2.0,0.0,1.0,10,13,2,0,0,0,0,2.0
110,[C-]#[N+]CC1CCC(C(=O)OC)CC1,1.0,0.0,1.0,0.0,181.23500061035156,0.800000011920929,0.7692307829856873,4.0,2.0,0.0,1.0,10,13,8,0,0,0,0,1.0
111,[C-]#[N+]CCC(OCC)OCC,0.0,0.0,0.0,0.0,157.21299743652344,0.875,0.7272727489471436,8.0,1.0,0.0,1.0,8,11,7,0,0,0,0,1.0
112,[C-]#[N+]CCCn1ccnc1,0.0,1.0,0.0,0.0,135.1699981689453,0.4285714328289032,0.699999988079071,5.0,1.0,2.0,3.0,7,10,3,0,0,0,0,1.0
113,[C-]#[N+]CC(OCC)OCC,0.0,0.0,0.0,0.0,143.18600463867188,0.8571428656578064,0.699999988079071,7.0,1.0,0.0,1.0,7,10,6,0,0,0,0,1.0
